INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (1, 41, 15, '1998-09-07 12:23:36', '1980-09-16 07:24:26', '1974-09-24 17:53:52', '2002-09-04 14:02:05');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (2, 10, 62, '1970-03-17 00:05:10', '1988-02-05 19:23:06', '2012-04-02 05:16:19', '1998-02-21 01:53:36');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (3, 14, 58, '1975-10-16 16:59:30', '1990-08-19 19:30:23', '2006-03-13 21:01:57', '2014-09-20 13:55:35');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (4, 49, 89, '1972-11-14 01:01:43', '2009-09-30 00:33:06', '2014-01-07 05:04:15', '1982-04-11 01:35:02');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (5, 87, 67, '1996-11-22 02:07:01', '1994-10-05 04:05:59', '2012-09-13 09:34:53', '1973-03-06 06:15:42');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (6, 78, 32, '2013-11-08 00:54:18', '2017-11-14 07:19:07', '1984-08-04 06:38:08', '2002-07-12 21:31:34');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (7, 83, 8, '1985-09-15 11:08:15', '2008-07-26 19:32:35', '2017-02-19 09:31:54', '1996-09-17 17:50:57');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (8, 76, 67, '1970-12-14 13:25:06', '2010-12-08 06:08:16', '1980-03-23 20:35:54', '1978-05-28 13:13:58');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (9, 32, 17, '1997-06-22 15:32:29', '2000-11-15 08:18:13', '2014-09-07 05:22:25', '1976-06-03 16:28:36');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (10, 97, 51, '1976-07-20 06:28:07', '1998-03-08 05:31:08', '1981-12-15 21:47:36', '2001-08-17 23:38:11');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (11, 4, 85, '2004-08-17 07:19:33', '1996-10-23 02:54:08', '1974-09-21 03:17:36', '2013-03-23 03:54:43');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (12, 51, 42, '1998-07-18 06:57:09', '2005-09-30 07:14:54', '2004-09-15 17:19:52', '2008-05-26 16:45:26');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (13, 76, 37, '2013-07-16 01:27:30', '1973-07-13 01:12:51', '1994-12-06 19:20:57', '1982-04-30 11:33:16');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (14, 47, 1, '2001-04-15 07:21:39', '2001-03-27 19:13:41', '1970-08-29 23:40:01', '1989-12-19 20:32:34');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (15, 56, 61, '1983-06-12 01:46:54', '2001-08-07 06:57:59', '1983-10-03 21:39:43', '1973-11-06 14:57:25');
INSERT INTO `friendship` (`user_id`, `friend_id`, `status_id`, `requested_at`, `confirmed_at`, `created_at`, `updated_at`) VALUES (16, 90, 14, '2018-03-21 20:50:36', '1980-10-13 06:32:10', '1976-11-04 13:15:34', '2007-07-24 12:16:54');
